	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
303	si:ch211-246b8.2	0.33269756434231157	0.8250972063185716	-1068.4093235983003	0.017477509620585394	False	False
304	zgc:113263	0.5231469373027118	0.8250972063185716	-0.4479740000399242	0.1271931189118753	False	False
305	si:dkey-14d8.1	0.45419064168464385	0.8250972063185716	-1067.305715548173	0.008133180735860179	False	False
306	rtcb	0.6108132600694817	0.8250972063185716	-1.1007427603517084	0.03329283560898323	False	False
307	cpsf6	0.43239420162621334	0.8250972063185716	-0.2871655351892443	0.29800657619337645	False	False
308	anks1b	0.013903298756964482	0.3516735380931133	-0.8164644366314289	0.6070774068802963	False	False
309	mdm2	0.1356194429268631	0.8250972063185716	1.2121736104984289	0.04524273198450544	False	False
310	dennd5b	0.055751282163017245	0.6602566568615998	-2.50581091397817	0.099611873249172	False	False
311	si:ch211-223g7.6-1	0.5335051838752431	0.8250972063185716	-1.5620562566933842	0.03853510247750414	False	False
312	sbf1	0.3592924270333222	0.8250972063185716	-0.7126338414099566	0.1557058456809923	False	False
313	si:dkeyp-100h4.1			0.0	0.0	True	True
314	slco1d1	0.1856869672160053	0.8250972063185716	2.0681247475919378	0.006496842925031816	False	False
315	zgc:174944-1			0.0	0.0	True	True
316	avpr1ab	0.21920453657421135	0.8250972063185716	-1069.1223624516658	0.02865006639756293	False	False
317	CABZ01087415.1	0.006552753595258082	0.3472305159636819	3.0286278205281794	0.019478181826745367	False	False
318	net1	0.5419961310840583	0.8250972063185716	-1067.0524367083797	0.006823636683416955	False	False
319	srgap1b	0.15189067705475043	0.8250972063185716	-0.5168732327172145	0.5106007290802211	False	False
320	arhgef39			0.0	0.0	True	True
321	si:ch211-227e10.6			0.0	0.0	True	True
322	fbxo7	0.33269756434231157	0.8250972063185716	-1068.3766725656099	0.017086401591984497	False	False
323	si:ch211-223g7.2			0.0	0.0	True	True
324	tmcc3	0.6093675992386551	0.8250972063185716	1.1548170791728904	0.013407171403654482	False	False
325	lrtm2a	0.6679128344611995	0.8250972063185716	-1066.1153469280641	0.0035638856651729026	False	False
326	si:dkey-7j22.1	0.6679128344611995	0.8250972063185716	-1066.1588458692218	0.0036729773383878876	False	False
327	si:dkey-7j22.2			0.0	0.0	True	True
328	znf1115	0.6120107539676574	0.8250972063185716	0.89612543558246	0.014734301999701884	False	False
329	si:dkey-7j22.4			0.0	0.0	True	True
330	BX897720.1			0.0	0.0	True	True
331	zgc:194209			0.0	0.0	True	True
332	si:dkeyp-77c4.5			0.0	0.0	True	True
333	znf1107			0.0	0.0	True	True
334	pkp2	0.02106081028966778	0.3516735380931133	1068.6247686877484	0.0038007075485705674	False	False
335	znf980			0.0	0.0	True	True
336	tnnt2e			0.0	0.0	True	True
337	znf1137-1			0.0	0.0	True	True
338	pdzrn4	0.20240684836426237	0.8250972063185716	-0.7869375090907803	0.16349028365683982	False	False
339	trhde.2	0.9106784325301147	0.9665552688028417	0.19665071745949717	0.059124613770977455	False	False
